_key,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
119,119,UAMY,United States Antimony Corporation,Basic Materials,Other Industrial Metals & Mining,USA,108.83M,-,0.95,5.20%,"6,498,314"
120,120,VGZ,Vista Gold Corp.,Basic Materials,Gold,USA,107.24M,127.13,0.89,-1.05%,"396,525"
121,121,ELA,Envela Corporation,Consumer Cyclical,Specialty Retail,USA,104.30M,14.66,3.93,3.15%,"50,293"
122,122,ELMD,"Electromed, Inc.",Healthcare,Medical Devices,USA,103.90M,33.37,12.18,-0.25%,"8,218"
123,123,ISDR,Issuer Direct Corporation,Technology,Information Technology Services,USA,103.60M,42.87,27.48,0.33%,"1,730"
124,124,OPTT,"Ocean Power Technologies, Inc.",Industrials,Electrical Equipment & Parts,USA,103.33M,-,1.95,-2.50%,"1,108,688"
125,125,ASM,Avino Silver & Gold Mines Ltd.,Basic Materials,Silver,Canada,101.80M,-,0.98,-2.76%,"404,744"
126,126,OGEN,"Oragenics, Inc.",Healthcare,Biotechnology,USA,99.95M,-,0.84,34.14%,"232,855,289"
127,127,INUV,"Inuvo, Inc.",Communication Services,Advertising Agencies,USA,97.30M,-,0.77,-4.31%,"1,320,605"
128,128,DIT,AMCON Distributing Company,Consumer Defensive,Food Distribution,USA,97.22M,7.84,167.62,0.88%,"6,325"
129,129,ISR,"Isoray, Inc.",Healthcare,Medical Instruments & Supplies,USA,96.95M,-,0.69,-1.10%,"800,615"
130,130,ARMP,Armata Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,96.93M,-,3.88,0.44%,"2,100"
131,131,AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,USA,96.15M,-,1.98,-1.00%,"272,164"
132,132,PED,PEDEVCO Corp.,Energy,Oil & Gas E&P,USA,93.45M,-,1.13,-3.42%,"110,024"
133,133,VOLT,"Volt Information Sciences, Inc.",Industrials,Staffing & Employment Services,USA,91.97M,-,4.43,-2.42%,"42,843"
134,134,DSS,"Document Security Systems, Inc.",Industrials,Specialty Business Services,USA,89.27M,9.21,1.39,-2.11%,"1,191,597"
135,135,AUMN,Golden Minerals Company,Basic Materials,Other Precious Metals & Mining,USA,88.28M,-,0.54,-1.85%,"181,780"
136,136,TPHS,Trinity Place Holdings Inc.,Real Estate,Real Estate - Diversified,USA,87.35M,25.60,2.56,-3.40%,"10,583"
137,137,BTTR,Better Choice Company Inc.,Consumer Defensive,Packaged Foods,USA,85.96M,-,3.49,-10.74%,"251,022"
138,138,FRD,"Friedman Industries, Incorporated",Basic Materials,Steel,USA,85.20M,7.60,12.53,-0.40%,"14,928"
139,139,SNMP,Evolve Transition Infrastructure LP,Energy,Oil & Gas Midstream,USA,78.68M,-,1.33,8.13%,"1,805,579"
140,140,SBEV,"Splash Beverage Group, Inc.",Consumer Defensive,Beverages - Brewers,USA,75.38M,-,2.70,-1.10%,"119,286"
141,141,TKAT,"Takung Art Co., Ltd.",Consumer Cyclical,Internet Retail,Hong Kong,74.01M,-,5.80,-16.67%,"1,181,172"
142,142,EXN,Excellon Resources Inc.,Basic Materials,Other Industrial Metals & Mining,Canada,73.51M,-,2.27,-0.87%,"14,420"
143,143,CDOR,"Condor Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA,73.02M,-,6.03,1.69%,"5,665"
144,144,NTIP,"Network-1 Technologies, Inc.",Technology,Communication Equipment,USA,72.12M,8.17,3.00,-10.98%,"1,410,740"
145,145,BTN,"Ballantyne Strong, Inc",Consumer Cyclical,Leisure,USA,71.20M,-,3.72,-4.37%,"64,506"
146,146,PLX,"Protalix BioTherapeutics, Inc.",Healthcare,Biotechnology,Israel,70.34M,-,1.55,-1.27%,"584,527"
147,147,SYN,"Synthetic Biologics, Inc.",Healthcare,Biotechnology,USA,66.81M,-,0.51,-1.21%,"1,456,645"
148,148,SIF,"SIFCO Industries, Inc.",Industrials,Aerospace & Defense,USA,65.79M,7.24,10.82,0.37%,"2,087"
149,149,WTT,"Wireless Telecom Group, Inc.",Technology,Communication Equipment,USA,62.10M,-,2.72,0.00%,"66,596"
150,150,NNVC,"NanoViricides, Inc.",Healthcare,Biotechnology,USA,58.25M,-,4.92,17.42%,"13,315,988"
151,151,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,57.30M,-,0.41,0.91%,"634,176"
152,152,WYY,WidePoint Corporation,Technology,Information Technology Services,USA,57.20M,5.28,6.15,-4.95%,"42,124"
153,153,BDL,"Flanigan's Enterprises, Inc.",Consumer Cyclical,Restaurants,USA,55.54M,17.36,29.88,-0.57%,"1,017"
154,154,JOB,"GEE Group, Inc.",Industrials,Staffing & Employment Services,USA,54.11M,0.43,0.46,-6.74%,"3,792,438"
155,155,LGL,"The LGL Group, Inc.",Technology,Electronic Components,USA,52.83M,107.16,10.18,-1.36%,"24,923"
156,156,BKTI,BK Technologies Corporation,Technology,Communication Equipment,USA,52.23M,54.31,3.15,-1.87%,"34,540"
157,157,NAVB,"Navidea Biopharmaceuticals, Inc.",Healthcare,Biotechnology,USA,52.18M,-,1.72,1.78%,"68,849"
158,158,IOR,"Income Opportunity Realty Investors, Inc.",Financial,Mortgage Finance,USA,51.50M,11.24,12.75,-6.61%,4
159,159,AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USA,51.24M,-,1.33,-0.38%,"55,115"
160,160,FSI,Flexible Solutions International Inc.,Basic Materials,Specialty Chemicals,Canada,50.96M,16.08,4.10,-1.68%,"47,274"
161,161,BGI,Birks Group Inc.,Consumer Cyclical,Luxury Goods,Canada,50.33M,-,2.81,1.81%,"268,875"
